s,C,g/g,g/g,g/g,g/g,g/g,1/s,1/s,1/s,1/s,1/s,W/g,W/g
Time,Temp,Total Mass,vegetation Mass,MOISTURE Mass,CHAR Mass,ASH Mass,Total MLR,vegetation MLR,MOISTURE MLR,CHAR MLR,ASH MLR,MCC,DSC
 2.5200000E+002, 4.5998325E+001, 9.9996400E-001, 3.3987781E-001, 6.6008615E-001, 3.2187987E-008, 0.0000000E+000, 4.2176808E-007, 7.4630702E-010, 4.2131140E-007,-2.8963021E-010, 0.0000000E+000, 0.0000000E+000, 2.6932275E-001
 2.6400000E+002, 4.6998325E+001, 9.9995857E-001, 3.3987781E-001, 6.6008073E-001, 3.5822982E-008, 0.0000000E+000, 4.7888159E-007, 8.1567336E-010, 4.7838250E-007,-3.1655023E-010, 0.0000000E+000, 0.0000000E+000, 2.6956379E-001
 2.7600000E+002, 4.7998325E+001, 9.9995244E-001, 3.3987778E-001, 6.6007465E-001, 3.9794713E-008, 0.0000000E+000, 5.4329945E-007, 8.9099378E-010, 5.4275426E-007,-3.4578090E-010, 0.0000000E+000, 0.0000000E+000, 2.6982233E-001
 2.8800000E+002, 4.8998325E+001, 9.9994552E-001, 3.3987778E-001, 6.6006768E-001, 4.4131994E-008, 0.0000000E+000, 6.1589992E-007, 9.7273578E-010, 6.1530471E-007,-3.7750372E-010, 0.0000000E+000, 0.0000000E+000, 2.7010047E-001
 3.0000000E+002, 4.9998322E+001, 9.9993765E-001, 3.3987778E-001, 6.6005981E-001, 4.8865878E-008, 0.0000000E+000, 6.9766008E-007, 1.0614003E-009, 6.9701059E-007,-4.1191303E-010, 0.0000000E+000, 0.0000000E+000, 2.7040052E-001
 3.1200000E+002, 5.0998322E+001, 9.9992871E-001, 3.3987775E-001, 6.6005093E-001, 5.4029844E-008, 0.0000000E+000, 7.8966593E-007, 1.1575233E-009, 7.8895761E-007,-4.4921689E-010, 0.0000000E+000, 0.0000000E+000, 2.7072504E-001
 3.2400000E+002, 5.1998322E+001, 9.9991864E-001, 3.3987775E-001, 6.6004086E-001, 5.9659939E-008, 0.0000000E+000, 8.9312391E-007, 1.2616784E-009, 8.9235186E-007,-4.8963789E-010, 0.0000000E+000, 0.0000000E+000, 2.7107689E-001
 3.3600000E+002, 5.2998318E+001, 9.9990726E-001, 3.3987772E-001, 6.6002947E-001, 6.5794993E-008, 0.0000000E+000, 1.0093731E-006, 1.3744792E-009, 1.0085321E-006,-5.3341409E-010, 0.0000000E+000, 0.0000000E+000, 2.7145922E-001
 3.4800000E+002, 5.3998318E+001, 9.9989438E-001, 3.3987769E-001, 6.6001660E-001, 7.2476773E-008, 0.0000000E+000, 1.1398990E-006, 1.4965811E-009, 1.1389833E-006,-5.8080002E-010, 0.0000000E+000, 0.0000000E+000, 2.7187556E-001
 3.6000000E+002, 5.4998314E+001, 9.9987984E-001, 3.3987769E-001, 6.6000205E-001, 7.9750208E-008, 0.0000000E+000, 1.2863478E-006, 1.6286850E-009, 1.2853512E-006,-6.3206745E-010, 0.0000000E+000, 0.0000000E+000, 2.7232975E-001
 3.7200000E+002, 5.5998310E+001, 9.9986339E-001, 3.3987767E-001, 6.5998566E-001, 8.7663608E-008, 0.0000000E+000, 1.4505431E-006, 1.7715388E-009, 1.4494591E-006,-6.8750683E-010, 0.0000000E+000, 0.0000000E+000, 2.7282608E-001
 3.8400000E+002, 5.6998310E+001, 9.9984491E-001, 3.3987764E-001, 6.5996718E-001, 9.6268870E-008, 0.0000000E+000, 1.6345033E-006, 1.9259414E-009, 1.6333247E-006,-7.4742806E-010, 0.0000000E+000, 0.0000000E+000, 2.7336931E-001
 3.9600000E+002, 5.7998306E+001, 9.9982411E-001, 3.3987764E-001, 6.5994638E-001, 1.0562175E-007, 0.0000000E+000, 1.8404605E-006, 2.0927446E-009, 1.8391800E-006,-8.1216184E-010, 0.0000000E+000, 0.0000000E+000, 2.7396467E-001
 4.0800000E+002, 5.8998302E+001, 9.9980068E-001, 3.3987761E-001, 6.5992296E-001, 1.1578209E-007, 0.0000000E+000, 2.0708824E-006, 2.2728572E-009, 2.0694918E-006,-8.8206076E-010, 0.0000000E+000, 0.0000000E+000, 2.7461791E-001
 4.2000000E+002, 5.9998299E+001, 9.9977428E-001, 3.3987758E-001, 6.5989661E-001, 1.2681410E-007, 0.0000000E+000, 2.3284942E-006, 2.4672482E-009, 2.3269845E-006,-9.5750086E-010, 0.0000000E+000, 0.0000000E+000, 2.7533546E-001
 4.3200000E+002, 6.0998295E+001, 9.9974465E-001, 3.3987755E-001, 6.5986699E-001, 1.3878666E-007, 0.0000000E+000, 2.6163038E-006, 2.6769496E-009, 2.6146658E-006,-1.0388826E-009, 0.0000000E+000, 0.0000000E+000, 2.7612427E-001
 4.4400000E+002, 6.1998291E+001, 9.9971133E-001, 3.3987752E-001, 6.5983367E-001, 1.5177361E-007, 0.0000000E+000, 2.9376292E-006, 2.9030605E-009, 2.9358528E-006,-1.1266329E-009, 0.0000000E+000, 0.0000000E+000, 2.7699217E-001
 4.5600000E+002, 6.2998283E+001, 9.9967396E-001, 3.3987746E-001, 6.5979636E-001, 1.6585405E-007, 0.0000000E+000, 3.2961266E-006, 3.1467513E-009, 3.2942012E-006,-1.2212056E-009, 0.0000000E+000, 0.0000000E+000, 2.7794763E-001
 4.6800000E+002, 6.3998280E+001, 9.9963206E-001, 3.3987743E-001, 6.5975446E-001, 1.8111274E-007, 0.0000000E+000, 3.6958243E-006, 3.4092675E-009, 3.6937381E-006,-1.3230840E-009, 0.0000000E+000, 0.0000000E+000, 2.7900001E-001
 4.8000000E+002, 6.4998268E+001, 9.9958509E-001, 3.3987740E-001, 6.5970755E-001, 1.9764039E-007, 0.0000000E+000, 4.1411549E-006, 3.6919336E-009, 4.1388957E-006,-1.4327824E-009, 0.0000000E+000, 0.0000000E+000, 2.8015965E-001
 4.9200000E+002, 6.5998260E+001, 9.9953246E-001, 3.3987734E-001, 6.5965492E-001, 2.1553412E-007, 0.0000000E+000, 4.6369951E-006, 3.9961585E-009, 4.6345494E-006,-1.5508472E-009, 0.0000000E+000, 0.0000000E+000, 2.8143784E-001
 5.0400000E+002, 6.6998253E+001, 9.9947357E-001, 3.3987728E-001, 6.5959609E-001, 2.3489774E-007, 0.0000000E+000, 5.1887037E-006, 4.3234381E-009, 5.1860579E-006,-1.6778595E-009, 0.0000000E+000, 0.0000000E+000, 2.8284705E-001
 5.1600000E+002, 6.7998245E+001, 9.9940771E-001, 3.3987725E-001, 6.5953022E-001, 2.5584231E-007, 0.0000000E+000, 5.8021674E-006, 4.6753632E-009, 5.7993066E-006,-1.8144362E-009, 0.0000000E+000, 0.0000000E+000, 2.8440082E-001
 5.2800000E+002, 6.8998238E+001, 9.9933404E-001, 3.3987719E-001, 6.5945661E-001, 2.7848651E-007, 0.0000000E+000, 6.4838473E-006, 5.0536220E-009, 6.4807550E-006,-1.9612325E-009, 0.0000000E+000, 0.0000000E+000, 2.8611419E-001
 5.4000000E+002, 6.9998222E+001, 9.9925178E-001, 3.3987713E-001, 6.5937436E-001, 3.0295706E-007, 0.0000000E+000, 7.2408302E-006, 5.4600067E-009, 7.2374892E-006,-2.1189444E-009, 0.0000000E+000, 0.0000000E+000, 2.8800344E-001
 5.5200000E+002, 7.0998215E+001, 9.9915993E-001, 3.3987704E-001, 6.5928257E-001, 3.2938939E-007, 0.0000000E+000, 8.0808823E-006, 5.8964194E-009, 8.0772743E-006,-2.2883093E-009, 0.0000000E+000, 0.0000000E+000, 2.9008654E-001
 5.6400000E+002, 7.1998199E+001, 9.9905747E-001, 3.3987698E-001, 6.5918016E-001, 3.5792797E-007, 0.0000000E+000, 9.0125104E-006, 6.3648766E-009, 9.0086151E-006,-2.4701101E-009, 0.0000000E+000, 0.0000000E+000, 2.9238304E-001
 5.7600000E+002, 7.2998184E+001, 9.9894321E-001, 3.3987689E-001, 6.5906596E-001, 3.8872699E-007, 0.0000000E+000, 1.0045023E-005, 6.8675168E-009, 1.0040821E-005,-2.6651770E-009, 0.0000000E+000, 0.0000000E+000, 2.9491436E-001
 5.8800000E+002, 7.3998169E+001, 9.9881595E-001, 3.3987680E-001, 6.5893871E-001, 4.2195083E-007, 0.0000000E+000, 1.1188602E-005, 7.4066056E-009, 1.1184069E-005,-2.8743892E-009, 0.0000000E+000, 0.0000000E+000, 2.9770389E-001
 6.0000000E+002, 7.4998146E+001, 9.9867421E-001, 3.3987671E-001, 6.5879703E-001, 4.5777480E-007, 0.0000000E+000, 1.2454370E-005, 7.9845437E-009, 1.2449485E-005,-3.0986780E-009, 0.0000000E+000, 0.0000000E+000, 3.0077714E-001
 6.1200000E+002, 7.5998131E+001, 9.9851650E-001, 3.3987662E-001, 6.5863937E-001, 4.9638567E-007, 0.0000000E+000, 1.3854476E-005, 8.6038732E-009, 1.3849211E-005,-3.3390302E-009, 0.0000000E+000, 0.0000000E+000, 3.0416194E-001
 6.2400000E+002, 7.6998108E+001, 9.9834108E-001, 3.3987650E-001, 6.5846401E-001, 5.3798243E-007, 0.0000000E+000, 1.5402173E-005, 9.2672847E-009, 1.5396501E-005,-3.5964900E-009, 0.0000000E+000, 0.0000000E+000, 3.0788860E-001
 6.3600000E+002, 7.7998077E+001, 9.9814618E-001, 3.3987638E-001, 6.5826917E-001, 5.8277692E-007, 0.0000000E+000, 1.7111906E-005, 9.9776258E-009, 1.7105800E-005,-3.8721626E-009, 0.0000000E+000, 0.0000000E+000, 3.1199011E-001
