,Temperature / °C,Normalised Mass / -,Normalised Mass Loss Rate / 1/s
0,24.83548927307129,0.9948718696970048,-1.093148188555556e-05
1,24.90750339875888,0.994980780119838,-1.0873107717733902e-05
2,24.979517524446464,0.994945156581377,-1.0814733549912245e-05
3,25.05153165013405,0.9951655967905056,-1.0756359382090586e-05
4,25.12354577582164,0.9950892556790292,-1.0697985214268928e-05
5,25.195559901509228,0.9948842671379922,-1.0639611046447273e-05
6,25.26757402719681,0.9950099167791562,-1.0581236878625612e-05
7,25.339588152884403,0.9948979420800173,-1.0522862710803954e-05
8,25.41160227857199,0.9944568815263272,-1.0464488542982295e-05
9,25.48361640425958,0.9942879237585136,-1.0406114375160638e-05
10,25.55563052994717,0.9944075219871594,-1.034774020733898e-05
11,25.627644655634757,0.9948946517197348,-1.0289366039517325e-05
12,25.69965878132234,0.9946502631132548,-1.0230991871695665e-05
13,25.77167290700993,0.9947500471193452,-1.0172617703874006e-05
14,25.84368703269752,0.9953408699602692,-1.011424353605235e-05
15,25.915701158385104,0.995646405395433,-1.005586936823069e-05
16,25.987715284072696,0.9953636652952514,-9.997495200409032e-06
17,26.059729409760283,0.9953325012884244,-9.939121032587375e-06
18,26.13174353544787,0.995679553493799,-9.880746864765717e-06
19,26.20375766113546,0.996436771013634,-9.822372696944058e-06
20,26.275771786823046,0.9962032508717332,-9.7639985291224e-06
21,26.347785912510638,0.9951736531577994,-9.705624361300745e-06
22,26.419800038198225,0.994205142406558,-9.647250193479084e-06
23,26.49181416388581,0.9945454106335978,-9.588876025657428e-06
24,26.5638282895734,0.9941434950921644,-9.530501857835767e-06
25,26.635842415260985,0.9941219939366576,-9.47212769001411e-06
26,26.707856540948573,0.9941276068565748,-9.413753522192454e-06
27,26.77987066663616,0.9953706891500054,-9.355379354370797e-06
28,26.851884792323748,0.9952321746666304,-9.297005186549137e-06
29,26.923898918011336,0.995014059217607,-9.23863101872748e-06
30,26.995913043698923,0.9950384147124628,-9.18025685090582e-06
31,27.06792716938651,0.9958311584958416,-9.121882683084164e-06
32,27.1399412950741,0.9956078294468126,-9.063508515262506e-06
33,27.211955420761686,0.9954354447998855,-9.005134347440847e-06
34,27.283969546449278,0.9953946703955352,-8.946760179619189e-06
35,27.355983672136865,0.9953445048395784,-8.888386011797532e-06
36,27.42799779782445,0.9951692018582496,-8.830011843975873e-06
37,27.50001192351204,0.9949986775538878,-8.771637676154215e-06
38,27.572026049199625,0.99490179802134,-8.713263508332558e-06
39,27.644040174887213,0.9948339800927576,-8.6548893405109e-06
40,27.7160543005748,0.9948207042212311,-8.596515172689241e-06
41,27.78806842626239,0.994860532721649,-8.538141004867584e-06
42,27.86008255194998,0.9948268614807052,-8.479766837045926e-06
43,27.932096677637567,0.994755608147348,-8.421392669224267e-06
44,28.004110803325155,0.9944930090771732,-8.36301850140261e-06
45,28.076124929012742,0.994305067962207,-8.304644333580952e-06
46,28.14813905470033,0.994234680934296,-8.246270165759293e-06
47,28.22015318038792,0.994177884778015,-8.187895997937636e-06
48,28.292167306075505,0.9939610003881052,-8.129521830115978e-06
49,28.364181431763093,0.9938352046294012,-8.07114766229432e-06
50,28.43619555745068,0.993843048449366,-8.012773494472663e-06
51,28.50820968313827,0.9945666844024096,-7.954399326651004e-06
52,28.580223808825856,0.994683827678588,-7.896025158829345e-06
53,28.652237934513444,0.994781356733738,-7.837650991007689e-06
54,28.72425206020103,0.9948251277638333,-7.77927682318603e-06
55,28.79626618588862,0.994731264025686,-7.720902655364372e-06
56,28.868280311576207,0.9944701591139636,-7.662528487542715e-06
57,28.940294437263795,0.994326333070056,-7.604154319721056e-06
58,29.012308562951382,0.9943122321118796,-7.5457801518993986e-06
59,29.08432268863897,0.9965750917440032,-7.487405984077741e-06
60,29.15633681432656,0.9964710251822216,-7.429031816256082e-06
61,29.228350940014145,0.9962797144862232,-7.370657648434425e-06
62,29.300365065701733,0.9961749728310656,-7.312283480612767e-06
63,29.37237919138932,0.9962045449167588,-7.253909312791108e-06
64,29.44439331707691,0.9965909368649658,-7.195535144969451e-06
65,29.516407442764496,0.9965259177287352,-7.137160977147793e-06
66,29.588421568452084,0.9964140904142846,-7.078786809326135e-06
67,29.66043569413967,0.996336179119517,-7.020412641504477e-06
68,29.73244981982726,0.996123544906334,-6.962038473682819e-06
69,29.804463945514847,0.9959170555137872,-6.903664305861161e-06
70,29.876478071202435,0.9957969325106978,-6.845290138039503e-06
71,29.948492196890022,0.9957411430581724,-6.786915970217845e-06
72,30.02050632257761,0.995583051774268,-6.728541802396187e-06
73,30.0925204482652,0.9954266435674932,-6.670167634574529e-06
74,30.164534573952785,0.9953335235557892,-6.611793466752872e-06
75,30.236548699640377,0.9952666117962282,-6.553419298931213e-06
76,30.308562825327964,0.9951816928350824,-6.495045131109555e-06
77,30.380576951015552,0.995047873889218,-6.4366709632878975e-06
78,30.45259107670314,0.9948681944772488,-6.378296795466239e-06
79,30.524605202390727,0.9948444081341022,-6.319922627644581e-06
80,30.596619328078315,0.9947080988760152,-6.261548459822924e-06
81,30.668633453765903,0.9947493262020048,-6.203174292001265e-06
82,30.74064757945349,0.995433042387671,-6.144800124179608e-06
83,30.81266170514108,0.9945390649060244,-6.08642595635795e-06
84,30.884675830828662,0.9948634546324208,-6.028051788536291e-06
85,30.956689956516254,0.9951369219986872,-5.9696776207146336e-06
86,31.02870408220384,0.9951597606340584,-5.911303452892976e-06
87,31.10071820789143,0.99511543025417,-5.852929285071317e-06
88,31.172732333579017,0.9962235669021188,-5.79455511724966e-06
